panel,partition,group,structure_id,pocket_id,ec1,native6,common4,metal_symbols,matched_site_keys
pinmymetal,train,1dk4,1dk4__chain_A__EC_3.1.3.25,1dk4__chain_A__EC_3.1.3.25_METAL_0,3,2,2,ZN,"[[""1dk4"",""3.1.3.25"",""A_290""],[""1dk4"",""3.1.3.25"",""A_291""],[""1dk4"",""3.1.3.25"",""A_292""]]"
pinmymetal,train,1dlm,1dlm__chain_A__EC_1.13.11.1,1dlm__chain_A__EC_1.13.11.1_METAL_0,1,3,3,FE,"[[""1dlm"",""1.13.11.1"",""A_400""]]"
pinmymetal,train,1dqs,1dqs__chain_A__EC_4.6.1.3,1dqs__chain_A__EC_4.6.1.3_METAL_0,4,2,2,ZN,"[[""1dqs"",""4.6.1.3"",""A_402""]]"
pinmymetal,train,1eg9,1eg9__chain_A__EC_1.14.12.12,1eg9__chain_A__EC_1.14.12.12_METAL_0,1,3,3,FE,"[[""1eg9"",""1.14.12.12"",""A_752""]]"
pinmymetal,train,1ei6,1ei6__chain_A__EC_3.11.1.2,1ei6__chain_A__EC_3.11.1.2_METAL_0,3,2,2,ZN,"[[""1ei6"",""3.11.1.2"",""A_408""]]"
pinmymetal,train,1ei6,1ei6__chain_A__EC_3.11.1.2,1ei6__chain_A__EC_3.11.1.2_METAL_1,3,2,2,ZN,"[[""1ei6"",""3.11.1.2"",""A_409""]]"
pinmymetal,train,1eil,1eil__chain_A__EC_1.13.11.39,1eil__chain_A__EC_1.13.11.39_METAL_0,1,3,3,FE,"[[""1eil"",""1.13.11.39"",""A_500""]]"
pinmymetal,train,1ekm,1ekm__chain_A__EC_1.4.3.6,1ekm__chain_A__EC_1.4.3.6_METAL_0,1,2,2,ZN,"[[""1ekm"",""1.4.3.6"",""A_701""]]"
pinmymetal,train,1evl,1evl__chain_A__EC_6.1.1.3,1evl__chain_A__EC_6.1.1.3_METAL_0,6,2,2,ZN,"[[""1evl"",""6.1.1.3"",""A_1""]]"
pinmymetal,train,1f1v,1f1v__chain_A__EC_1.13.11.15,1f1v__chain_A__EC_1.13.11.15_METAL_0,1,0,0,MN,"[[""1f1v"",""1.13.11.15"",""A_500""]]"
pinmymetal,train,1f5a,1f5a__chain_A__EC_2.7.7.19,1f5a__chain_A__EC_2.7.7.19_METAL_0,2,0,0,MN,"[[""1f5a"",""2.7.7.19"",""A_1001""],[""1f5a"",""2.7.7.19"",""A_1002""],[""1f5a"",""2.7.7.19"",""A_1003""]]"
pinmymetal,train,1fa0,1fa0__chain_A__EC_2.7.7.19,1fa0__chain_A__EC_2.7.7.19_METAL_0,2,0,0,MN,"[[""1fa0"",""2.7.7.19"",""A_600""],[""1fa0"",""2.7.7.19"",""A_601""]]"
pinmymetal,train,1fgo,1fgo__chain_A__EC_1.13.11.12,1fgo__chain_A__EC_1.13.11.12_METAL_0,1,3,3,FE,"[[""1fgo"",""1.13.11.12"",""A_840""]]"
pinmymetal,train,1fgr,1fgr__chain_A__EC_1.13.11.12,1fgr__chain_A__EC_1.13.11.12_METAL_0,1,3,3,FE,"[[""1fgr"",""1.13.11.12"",""A_840""]]"
pinmymetal,train,1fgt,1fgt__chain_A__EC_1.13.11.12,1fgt__chain_A__EC_1.13.11.12_METAL_0,1,3,3,FE,"[[""1fgt"",""1.13.11.12"",""A_840""]]"
pinmymetal,train,1fi2,1fi2__chain_A__EC_1.2.3.4,1fi2__chain_A__EC_1.2.3.4_METAL_0,1,0,0,MN,"[[""1fi2"",""1.2.3.4"",""A_202""]]"
pinmymetal,train,1fsq,1fsq__chain_A__EC_4.2.1.1,1fsq__chain_A__EC_4.2.1.1_METAL_0,4,4,3,CO,"[[""1fsq"",""4.2.1.1"",""A_262""]]"
pinmymetal,train,1fui,1fui__chain_A__EC_5.3.1.3,1fui__chain_A__EC_5.3.1.3_METAL_0,5,0,0,MN,"[[""1fui"",""5.3.1.3"",""A_592""]]"
pinmymetal,train,1fz1,1fz1__chain_A__EC_1.14.13.25,1fz1__chain_A__EC_1.14.13.25_METAL_0,1,3,3,FE,"[[""1fz1"",""1.14.13.25"",""A_5001""],[""1fz1"",""1.14.13.25"",""A_5002""]]"
pinmymetal,train,1g5b,1g5b__chain_A__EC_3.1.3.-,1g5b__chain_A__EC_3.1.3.-_METAL_0,3,0,0,MN,"[[""1g5b"",""3.1.3.-"",""A_1005""],[""1g5b"",""3.1.3.-"",""A_1006""]]"
pinmymetal,train,1g9r,1g9r__chain_A__EC_2.4.1.-,1g9r__chain_A__EC_2.4.1.-_METAL_0,2,0,0,MN,"[[""1g9r"",""2.4.1.-"",""A_400""]]"
pinmymetal,train,1ge7,1ge7__chain_A__EC_3.4.24.20,1ge7__chain_A__EC_3.4.24.20_METAL_0,3,2,2,ZN,"[[""1ge7"",""3.4.24.20"",""A_200""]]"
pinmymetal,train,1gp5,1gp5__chain_A__EC_1.14.11.19,1gp5__chain_A__EC_1.14.11.19_METAL_0,1,3,3,FE,"[[""1gp5"",""1.14.11.19"",""A_390""]]"
pinmymetal,train,1gup,1gup__chain_A__EC_2.7.7.10,1gup__chain_A__EC_2.7.7.10_METAL_1,2,3,3,FE,"[[""1gup"",""2.7.7.10"",""A_351""]]"
pinmymetal,train,1guq,1guq__chain_A__EC_2.7.7.10,1guq__chain_A__EC_2.7.7.10_METAL_1,2,3,3,FE,"[[""1guq"",""2.7.7.10"",""A_351""]]"
pinmymetal,train,1gx1,1gx1__chain_A__EC_4.6.1.12,1gx1__chain_A__EC_4.6.1.12_METAL_0,4,2,2,ZN,"[[""1gx1"",""4.6.1.12"",""A_1157""]]"
pinmymetal,train,1gy9,1gy9__chain_A__EC_1.14.11.17,1gy9__chain_A__EC_1.14.11.17_METAL_0,1,3,3,FE,"[[""1gy9"",""1.14.11.17"",""A_300""]]"
pinmymetal,train,1h0n,1h0n__chain_A__EC_1.17.4.1,1h0n__chain_A__EC_1.17.4.1_METAL_0,1,4,3,CO,"[[""1h0n"",""1.17.4.1"",""A_1353""],[""1h0n"",""1.17.4.1"",""A_1354""]]"
pinmymetal,train,1h1z,1h1z__chain_A__EC_5.1.3.1,1h1z__chain_A__EC_5.1.3.1_METAL_0,5,2,2,ZN,"[[""1h1z"",""5.1.3.1"",""A_1224""]]"
pinmymetal,train,1h48,1h48__chain_A__EC_4.6.1.12,1h48__chain_A__EC_4.6.1.12_METAL_0,4,2,2,ZN,"[[""1h48"",""4.6.1.12"",""A_202""]]"
pinmymetal,train,1han,1han__chain_A__EC_1.13.11.39,1han__chain_A__EC_1.13.11.39_METAL_0,1,3,3,FE,"[[""1han"",""1.13.11.39"",""A_500""]]"
pinmymetal,train,1hr6,1hr6__chain_B__EC_3.4.24.64,1hr6__chain_B__EC_3.4.24.64_METAL_0,3,2,2,ZN,"[[""1hr6"",""3.4.24.64"",""B_501""]]"
pinmymetal,train,1hu9,1hu9__chain_A__EC_1.13.11.12,1hu9__chain_A__EC_1.13.11.12_METAL_0,1,3,3,FE,"[[""1hu9"",""1.13.11.12"",""A_858""]]"
pinmymetal,train,1hx3,1hx3__chain_A__EC_5.3.3.2,1hx3__chain_A__EC_5.3.3.2_METAL_0,5,0,0,MN,"[[""1hx3"",""5.3.3.2"",""A_201""]]"
pinmymetal,train,1hxp,1hxp__chain_A__EC_2.7.7.10,1hxp__chain_A__EC_2.7.7.10_METAL_1,2,3,3,FE,"[[""1hxp"",""2.7.7.10"",""A_351""]]"
pinmymetal,train,1i6o,1i6o__chain_A__EC_4.2.1.1,1i6o__chain_A__EC_4.2.1.1_METAL_0,4,2,2,ZN,"[[""1i6o"",""4.2.1.1"",""A_301""]]"
pinmymetal,train,1i74,1i74__chain_A__EC_3.6.1.1,1i74__chain_A__EC_3.6.1.1_METAL_0,3,0,0,MN,"[[""1i74"",""3.6.1.1"",""A_401""],[""1i74"",""3.6.1.1"",""A_402""]]"
pinmymetal,train,1i8j,1i8j__chain_A__EC_4.2.1.24,1i8j__chain_A__EC_4.2.1.24_METAL_0,4,2,2,ZN,"[[""1i8j"",""4.2.1.24"",""A_400""]]"
pinmymetal,train,1i9a,1i9a__chain_A__EC_5.3.3.2,1i9a__chain_A__EC_5.3.3.2_METAL_0,5,0,0,MN,"[[""1i9a"",""5.3.3.2"",""A_1001""]]"
pinmymetal,train,1iaa,1iaa__chain_A__EC_3.4.24.21,1iaa__chain_A__EC_3.4.24.21_METAL_0,3,1,1,CU,"[[""1iaa"",""3.4.24.21"",""A_999""]]"
pinmymetal,train,1iae,1iae__chain_A__EC_3.4.24.21,1iae__chain_A__EC_3.4.24.21_METAL_0,3,5,3,NI,"[[""1iae"",""3.4.24.21"",""A_999""]]"
pinmymetal,train,1ibq,1ibq__chain_A__EC_3.4.23.18,1ibq__chain_A__EC_3.4.23.18_METAL_3,3,2,2,ZN,"[[""1ibq"",""3.4.23.18"",""A_1457""]]"
pinmymetal,train,1ik3,1ik3__chain_A__EC_1.13.11.12,1ik3__chain_A__EC_1.13.11.12_METAL_0,1,3,3,FE,"[[""1ik3"",""1.13.11.12"",""A_858""]]"
pinmymetal,train,1ino,1ino__chain_A__EC_3.6.1.1,1ino__chain_A__EC_3.6.1.1_METAL_0,3,0,0,MN,"[[""1ino"",""3.6.1.1"",""A_176""]]"
pinmymetal,train,1j2u,1j2u__chain_A__EC_3.5.2.10,1j2u__chain_A__EC_3.5.2.10_METAL_0,3,2,2,ZN,"[[""1j2u"",""3.5.2.10"",""A_301""],[""1j2u"",""3.5.2.10"",""A_302""]]"
pinmymetal,train,1j36,1j36__chain_A__EC_3.4.15.1,1j36__chain_A__EC_3.4.15.1_METAL_0,3,2,2,ZN,"[[""1j36"",""3.4.15.1"",""A_701""]]"
pinmymetal,train,1j53,1j53__chain_A__EC_2.7.7.7,1j53__chain_A__EC_2.7.7.7_METAL_0,2,0,0,MN,"[[""1j53"",""2.7.7.7"",""A_3000""],[""1j53"",""2.7.7.7"",""A_3001""]]"
pinmymetal,train,1j54,1j54__chain_A__EC_2.7.7.7,1j54__chain_A__EC_2.7.7.7_METAL_0,2,0,0,MN,"[[""1j54"",""2.7.7.7"",""A_3000""],[""1j54"",""2.7.7.7"",""A_3001""]]"
pinmymetal,train,1jaw,1jaw__chain_A__EC_3.4.11.9,1jaw__chain_A__EC_3.4.11.9_METAL_0,3,0,0,MN,"[[""1jaw"",""3.4.11.9"",""A_441""],[""1jaw"",""3.4.11.9"",""A_442""]]"
pinmymetal,train,1jaz,1jaz__chain_A__EC_3.5.1.1,1jaz__chain_A__EC_3.5.1.1_METAL_0,3,2,2,ZN,"[[""1jaz"",""3.5.1.1"",""A_401""]]"
pinmymetal,train,1jdi,1jdi__chain_A__EC_5.1.3.4,1jdi__chain_A__EC_5.1.3.4_METAL_0,5,2,2,ZN,"[[""1jdi"",""5.1.3.4"",""A_301""]]"
pinmymetal,train,1jk9,1jk9__chain_A__EC_1.15.1.1,1jk9__chain_A__EC_1.15.1.1_METAL_0,1,2,2,ZN,"[[""1jk9"",""1.15.1.1"",""A_301""]]"
pinmymetal,train,1jpr,1jpr__chain_A__EC_1.17.4.1,1jpr__chain_A__EC_1.17.4.1_METAL_0,1,0,0,MN,"[[""1jpr"",""1.17.4.1"",""A_403""],[""1jpr"",""1.17.4.1"",""A_404""]]"
pinmymetal,train,1jqc,1jqc__chain_A__EC_1.17.4.1,1jqc__chain_A__EC_1.17.4.1_METAL_0,1,0,0,MN,"[[""1jqc"",""1.17.4.1"",""A_403""],[""1jqc"",""1.17.4.1"",""A_404""]]"
pinmymetal,train,1jtk,1jtk__chain_A__EC_3.5.4.5,1jtk__chain_A__EC_3.5.4.5_METAL_0,3,2,2,ZN,"[[""1jtk"",""3.5.4.5"",""A_137""]]"
pinmymetal,train,1k1e,1k1e__chain_A__EC_3.1.3.-,1k1e__chain_A__EC_3.1.3.-_METAL_0,3,4,3,CO,"[[""1k1e"",""3.1.3.-"",""A_201""]]"
pinmymetal,train,1k4v,1k4v__chain_A__EC_2.4.1.151,1k4v__chain_A__EC_2.4.1.151_METAL_0,2,0,0,MN,"[[""1k4v"",""2.4.1.151"",""A_402""]]"
pinmymetal,train,1k6w,1k6w__chain_A__EC_3.5.4.1,1k6w__chain_A__EC_3.5.4.1_METAL_0,3,3,3,FE,"[[""1k6w"",""3.5.4.1"",""A_501""]]"
pinmymetal,train,1k70,1k70__chain_A__EC_3.5.4.1,1k70__chain_A__EC_3.5.4.1_METAL_0,3,3,3,FE,"[[""1k70"",""3.5.4.1"",""A_502""]]"
pinmymetal,train,1kae,1kae__chain_A__EC_1.1.1.23,1kae__chain_A__EC_1.1.1.23_METAL_0,1,2,2,ZN,"[[""1kae"",""1.1.1.23"",""A_1101""]]"
pinmymetal,train,1kfi,1kfi__chain_A__EC_5.4.2.2,1kfi__chain_A__EC_5.4.2.2_METAL_0,5,2,2,ZN,"[[""1kfi"",""5.4.2.2"",""A_700""]]"
pinmymetal,train,1ll2,1ll2__chain_A__EC_2.4.1.186,1ll2__chain_A__EC_2.4.1.186_METAL_0,2,0,0,MN,"[[""1ll2"",""2.4.1.186"",""A_333""]]"
pinmymetal,train,1lm4,1lm4__chain_A__EC_3.5.1.88,1lm4__chain_A__EC_3.5.1.88_METAL_0,3,3,3,FE,"[[""1lm4"",""3.5.1.88"",""A_603""]]"
pinmymetal,train,1lna,1lna__chain_E__EC_3.4.24.27,1lna__chain_E__EC_3.4.24.27_METAL_0,3,4,3,CO,"[[""1lna"",""3.4.24.27"",""E_900""]]"
pinmymetal,train,1lnb,1lnb__chain_E__EC_3.4.24.27,1lnb__chain_E__EC_3.4.24.27_METAL_0,3,3,3,FE,"[[""1lnb"",""3.4.24.27"",""E_900""]]"
pinmymetal,train,1lnc,1lnc__chain_E__EC_3.4.24.27,1lnc__chain_E__EC_3.4.24.27_METAL_0,3,0,0,MN,"[[""1lnc"",""3.4.24.27"",""E_900""]]"
pinmymetal,train,1lrm,1lrm__chain_A__EC_1.14.16.1,1lrm__chain_A__EC_1.14.16.1_METAL_0,1,3,3,FE,"[[""1lrm"",""1.14.16.1"",""A_428""]]"
pinmymetal,train,1lt8,1lt8__chain_A__EC_2.1.1.5,1lt8__chain_A__EC_2.1.1.5_METAL_0,2,2,2,ZN,"[[""1lt8"",""2.1.1.5"",""A_501""]]"
pinmymetal,train,1ltz,1ltz__chain_A__EC_1.14.16.1,1ltz__chain_A__EC_1.14.16.1_METAL_0,1,3,3,FE,"[[""1ltz"",""1.14.16.1"",""A_400""]]"
pinmymetal,train,1lv5,1lv5__chain_A__EC_2.7.7.7,1lv5__chain_A__EC_2.7.7.7_METAL_0,2,0,0,MN,"[[""1lv5"",""2.7.7.7"",""A_1""]]"
pinmymetal,train,1m35,1m35__chain_A__EC_3.4.11.9,1m35__chain_A__EC_3.4.11.9_METAL_0,3,0,0,MN,"[[""1m35"",""3.4.11.9"",""A_2001""],[""1m35"",""3.4.11.9"",""A_2002""]]"
pinmymetal,train,1mkd,1mkd__chain_A__EC_3.1.4.17,1mkd__chain_A__EC_3.1.4.17_METAL_0,3,2,2,ZN,"[[""1mkd"",""3.1.4.17"",""A_2001""]]"
pinmymetal,train,1mrr,1mrr__chain_A__EC_1.17.4.1,1mrr__chain_A__EC_1.17.4.1_METAL_0,1,0,0,MN,"[[""1mrr"",""1.17.4.1"",""A_401""],[""1mrr"",""1.17.4.1"",""A_402""]]"
pinmymetal,train,1mxr,1mxr__chain_A__EC_1.17.4.1,1mxr__chain_A__EC_1.17.4.1_METAL_0,1,3,3,FE,"[[""1mxr"",""1.17.4.1"",""A_1003""],[""1mxr"",""1.17.4.1"",""A_1004""]]"
pinmymetal,train,1n51,1n51__chain_A__EC_3.4.11.9,1n51__chain_A__EC_3.4.11.9_METAL_0,3,0,0,MN,"[[""1n51"",""3.4.11.9"",""A_2001""],[""1n51"",""3.4.11.9"",""A_2002""]]"
pinmymetal,train,1n9e,1n9e__chain_A__EC_1.4.3.13,1n9e__chain_A__EC_1.4.3.13_METAL_0,1,1,1,CU,"[[""1n9e"",""1.4.3.13"",""A_801""]]"
pinmymetal,train,1nfs,1nfs__chain_A__EC_5.3.3.2,1nfs__chain_A__EC_5.3.3.2_METAL_0,5,0,0,MN,"[[""1nfs"",""5.3.3.2"",""A_201""]]"
pinmymetal,train,1nfz,1nfz__chain_A__EC_5.3.3.2,1nfz__chain_A__EC_5.3.3.2_METAL_0,5,0,0,MN,"[[""1nfz"",""5.3.3.2"",""A_201""]]"
pinmymetal,train,1o23,1o23__chain_B__EC_2.4.1.90,1o23__chain_B__EC_2.4.1.90_METAL_0,2,0,0,MN,"[[""1o23"",""2.4.1.90"",""B_807""]]"
pinmymetal,train,1o7g,1o7g__chain_A__EC_1.14.12.12,1o7g__chain_A__EC_1.14.12.12_METAL_0,1,3,3,FE,"[[""1o7g"",""1.14.12.12"",""A_1453""]]"
pinmymetal,train,1o7h,1o7h__chain_A__EC_1.14.12.12,1o7h__chain_A__EC_1.14.12.12_METAL_0,1,3,3,FE,"[[""1o7h"",""1.14.12.12"",""A_1451""]]"
pinmymetal,train,1o7m,1o7m__chain_A__EC_1.14.12.12,1o7m__chain_A__EC_1.14.12.12_METAL_0,1,3,3,FE,"[[""1o7m"",""1.14.12.12"",""A_1454""]]"
pinmymetal,train,1o7n,1o7n__chain_A__EC_1.14.12.12,1o7n__chain_A__EC_1.14.12.12_METAL_0,1,3,3,FE,"[[""1o7n"",""1.14.12.12"",""A_509""]]"
pinmymetal,train,1o7p,1o7p__chain_A__EC_1.14.12.12,1o7p__chain_A__EC_1.14.12.12_METAL_0,1,3,3,FE,"[[""1o7p"",""1.14.12.12"",""A_1453""]]"
pinmymetal,train,1of8,1of8__chain_A__EC_4.1.2.15,1of8__chain_A__EC_4.1.2.15_METAL_0,4,4,3,CO,"[[""1of8"",""4.1.2.15"",""A_1369""]]"
pinmymetal,train,1ono,1ono__chain_A__EC_1.1.1.267,1ono__chain_A__EC_1.1.1.267_METAL_0,1,0,0,MN,"[[""1ono"",""1.1.1.267"",""A_1001""]]"
pinmymetal,train,1onp,1onp__chain_A__EC_1.1.1.267,1onp__chain_A__EC_1.1.1.267_METAL_0,1,0,0,MN,"[[""1onp"",""1.1.1.267"",""A_1002""]]"
pinmymetal,train,1opm,1opm__chain_A__EC_1.14.17.3,1opm__chain_A__EC_1.14.17.3_METAL_0,1,1,1,CU,"[[""1opm"",""1.14.17.3"",""A_357""]]"
pinmymetal,train,1opm,1opm__chain_A__EC_1.14.17.3,1opm__chain_A__EC_1.14.17.3_METAL_1,1,1,1,CU,"[[""1opm"",""1.14.17.3"",""A_358""]]"
pinmymetal,train,1ow2,1ow2__chain_A__EC_5.3.3.2,1ow2__chain_A__EC_5.3.3.2_METAL_0,5,0,0,MN,"[[""1ow2"",""5.3.3.2"",""A_201""]]"
pinmymetal,train,1oyn,1oyn__chain_A__EC_3.1.4.17,1oyn__chain_A__EC_3.1.4.17_METAL_0,3,2,2,ZN,"[[""1oyn"",""3.1.4.17"",""A_501""],[""1oyn"",""3.1.4.17"",""A_502""]]"
pinmymetal,train,1pah,1pah__chain_A__EC_1.14.16.1,1pah__chain_A__EC_1.14.16.1_METAL_0,1,3,3,FE,"[[""1pah"",""1.14.16.1"",""A_425""]]"
pinmymetal,train,1pey,1pey__chain_A__EC_2.7.-.-,1pey__chain_A__EC_2.7.-.-_METAL_0,2,0,0,MN,"[[""1pey"",""2.7.-.-"",""A_701""]]"
pinmymetal,train,1pfr,1pfr__chain_A__EC_1.17.4.1,1pfr__chain_A__EC_1.17.4.1_METAL_0,1,3,3,FE,"[[""1pfr"",""1.17.4.1"",""A_501""],[""1pfr"",""1.17.4.1"",""A_502""]]"
pinmymetal,train,1pim,1pim__chain_A__EC_1.17.4.1,1pim__chain_A__EC_1.17.4.1_METAL_0,1,3,3,FE,"[[""1pim"",""1.17.4.1"",""A_401""],[""1pim"",""1.17.4.1"",""A_402""]]"
pinmymetal,train,1piu,1piu__chain_A__EC_1.17.4.1,1piu__chain_A__EC_1.17.4.1_METAL_0,1,3,3,FE,"[[""1piu"",""1.17.4.1"",""A_401""],[""1piu"",""1.17.4.1"",""A_402""]]"
pinmymetal,train,1piy,1piy__chain_A__EC_1.17.4.1,1piy__chain_A__EC_1.17.4.1_METAL_0,1,3,3,FE,"[[""1piy"",""1.17.4.1"",""A_376""],[""1piy"",""1.17.4.1"",""A_377""]]"
pinmymetal,train,1piz,1piz__chain_A__EC_1.17.4.1,1piz__chain_A__EC_1.17.4.1_METAL_0,1,3,3,FE,"[[""1piz"",""1.17.4.1"",""A_376""],[""1piz"",""1.17.4.1"",""A_377""]]"
pinmymetal,train,1pj0,1pj0__chain_A__EC_1.17.4.1,1pj0__chain_A__EC_1.17.4.1_METAL_0,1,3,3,FE,"[[""1pj0"",""1.17.4.1"",""A_376""],[""1pj0"",""1.17.4.1"",""A_377""]]"
pinmymetal,train,1pj1,1pj1__chain_A__EC_1.17.4.1,1pj1__chain_A__EC_1.17.4.1_METAL_0,1,3,3,FE,"[[""1pj1"",""1.17.4.1"",""A_406""],[""1pj1"",""1.17.4.1"",""A_407""]]"
pinmymetal,train,1pm2,1pm2__chain_A__EC_1.17.4.1,1pm2__chain_A__EC_1.17.4.1_METAL_0,1,0,0,MN,"[[""1pm2"",""1.17.4.1"",""A_501""],[""1pm2"",""1.17.4.1"",""A_502""]]"
pinmymetal,train,1ppv,1ppv__chain_A__EC_5.3.3.2,1ppv__chain_A__EC_5.3.3.2_METAL_0,5,0,0,MN,"[[""1ppv"",""5.3.3.2"",""A_201""]]"
pinmymetal,train,1ppw,1ppw__chain_A__EC_5.3.3.2,1ppw__chain_A__EC_5.3.3.2_METAL_0,5,0,0,MN,"[[""1ppw"",""5.3.3.2"",""A_201""]]"
pinmymetal,train,1pvf,1pvf__chain_A__EC_5.3.3.2,1pvf__chain_A__EC_5.3.3.2_METAL_0,5,0,0,MN,"[[""1pvf"",""5.3.3.2"",""A_201""]]"
pinmymetal,train,1q0o,1q0o__chain_A__EC_1.13.11.15,1q0o__chain_A__EC_1.13.11.15_METAL_0,1,3,3,FE,"[[""1q0o"",""1.13.11.15"",""A_500""]]"
pinmymetal,train,1q54,1q54__chain_A__EC_5.3.3.2,1q54__chain_A__EC_5.3.3.2_METAL_0,5,0,0,MN,"[[""1q54"",""5.3.3.2"",""A_201""]]"
pinmymetal,train,1qh3,1qh3__chain_A__EC_3.1.2.6,1qh3__chain_A__EC_3.1.2.6_METAL_0,3,2,2,ZN,"[[""1qh3"",""3.1.2.6"",""A_261""],[""1qh3"",""3.1.2.6"",""A_262""]]"
pinmymetal,train,1qmg,1qmg__chain_A__EC_1.1.1.86,1qmg__chain_A__EC_1.1.1.86_METAL_0,1,0,0,MN,"[[""1qmg"",""1.1.1.86"",""A_601""],[""1qmg"",""1.1.1.86"",""A_602""]]"
pinmymetal,train,1qw7,1qw7__chain_A__EC_3.1.8.1,1qw7__chain_A__EC_3.1.8.1_METAL_0,3,4,3,CO,"[[""1qw7"",""3.1.8.1"",""A_601""],[""1qw7"",""3.1.8.1"",""A_602""]]"
pinmymetal,train,1qxr,1qxr__chain_A__EC_5.3.1.9,1qxr__chain_A__EC_5.3.1.9_METAL_0,5,5,3,NI,"[[""1qxr"",""5.3.1.9"",""A_200""]]"
pinmymetal,train,1qy4,1qy4__chain_A__EC_5.3.1.9,1qy4__chain_A__EC_5.3.1.9_METAL_0,5,5,3,NI,"[[""1qy4"",""5.3.1.9"",""A_210""]]"
pinmymetal,train,1qzy,1qzy__chain_A__EC_3.4.11.18,1qzy__chain_A__EC_3.4.11.18_METAL_0,3,4,3,CO,"[[""1qzy"",""3.4.11.18"",""A_479""],[""1qzy"",""3.4.11.18"",""A_480""]]"
pinmymetal,train,1r9x,1r9x__chain_A__EC_3.5.4.1,1r9x__chain_A__EC_3.5.4.1_METAL_0,3,3,3,FE,"[[""1r9x"",""3.5.4.1"",""A_501""]]"
pinmymetal,train,1r9y,1r9y__chain_A__EC_3.5.4.1,1r9y__chain_A__EC_3.5.4.1_METAL_0,3,3,3,FE,"[[""1r9y"",""3.5.4.1"",""A_501""]]"
pinmymetal,train,1ra5,1ra5__chain_A__EC_3.5.4.1,1ra5__chain_A__EC_3.5.4.1_METAL_0,3,3,3,FE,"[[""1ra5"",""3.5.4.1"",""A_500""]]"
pinmymetal,train,1rak,1rak__chain_A__EC_3.5.4.1,1rak__chain_A__EC_3.5.4.1_METAL_0,3,3,3,FE,"[[""1rak"",""3.5.4.1"",""A_500""]]"
pinmymetal,train,1rmq,1rmq__chain_A__EC_3.1.3.2,1rmq__chain_A__EC_3.1.3.2_METAL_0,3,4,3,CO,"[[""1rmq"",""3.1.3.2"",""A_401""]]"
